instance anchor smt mx
ann-thyroid.183  1.147  0.090  0.068
ann-thyroid.184  1.171  0.050  0.069
ann-thyroid.185  1.205  0.043  0.069
ann-thyroid.186  1.201  0.043  0.069
ann-thyroid.187  1.411  0.042  0.069
ann-thyroid.188  9.026  0.148  0.455
ann-thyroid.189  1.210  0.047  0.070
ann-thyroid.190  12.092  0.108  0.324
ann-thyroid.191  1.258  0.044  0.069
ann-thyroid.192  1.383  0.049  0.070
ann-thyroid.193  1.246  0.041  0.069
ann-thyroid.194  2.634  0.041  0.063
ann-thyroid.195  1.255  0.160  0.069
ann-thyroid.196  1.250  0.055  0.070
ann-thyroid.197  1.240  0.044  0.069
ann-thyroid.198  1.236  0.043  0.070
ann-thyroid.199  1.290  0.042  0.069
appendicitis.0  1.358  0.440  0.047
appendicitis.1  1.142  0.425  0.046
appendicitis.2  2.965  0.239  0.045
appendicitis.3  2.659  0.067  0.046
appendicitis.4  0.982  0.185  0.044
appendicitis.5  1.104  0.172  0.050
appendicitis.6  2.521  0.210  0.054
appendicitis.7  1.082  0.220  0.038
appendicitis.8  1.111  0.097  0.031
appendicitis.9  1.070  0.194  0.047
appendicitis.10  1.056  0.155  0.040
appendicitis.11  1.064  0.199  0.041
appendicitis.12  1.531  0.079  0.037
appendicitis.13  1.128  0.063  0.032
appendicitis.14  1.978  0.128  0.049
appendicitis.15  1.580  0.234  0.045
appendicitis.16  0.971  0.112  0.042
appendicitis.17  1.185  0.090  0.044
appendicitis.18  1.909  0.064  0.046
appendicitis.19  2.321  0.128  0.048
appendicitis.20  1.119  0.097  0.048
appendicitis.21  0.971  0.044  0.041
appendicitis.22  0.942  0.119  0.042
appendicitis.23  1.167  0.029  0.038
appendicitis.24  1.030  0.076  0.041
appendicitis.25  1.096  0.081  0.039
appendicitis.26  1.029  0.109  0.042
appendicitis.27  1.132  0.053  0.038
appendicitis.28  3.065  0.085  0.057
appendicitis.29  1.080  0.198  0.040
appendicitis.30  0.999  0.054  0.048
appendicitis.31  0.963  0.044  0.041
appendicitis.32  1.054  0.091  0.039
appendicitis.33  1.005  0.026  0.031
appendicitis.34  1.012  0.164  0.045
appendicitis.35  1.453  0.252  0.054
appendicitis.36  1.056  0.043  0.042
appendicitis.37  1.003  0.074  0.039
appendicitis.38  1.056  0.157  0.040
appendicitis.39  0.949  0.055  0.040
appendicitis.40  1.866  0.098  0.044
appendicitis.41  1.891  0.091  0.042
appendicitis.42  1.648  0.158  0.054
appendicitis.43  1.136  0.069  0.039
appendicitis.44  0.972  0.077  0.034
appendicitis.45  1.137  0.053  0.036
appendicitis.46  2.262  0.176  0.052
appendicitis.47  1.036  0.045  0.038
appendicitis.48  1.915  0.058  0.037
appendicitis.49  0.980  0.033  0.045
appendicitis.50  1.069  0.027  0.039
appendicitis.51  1.127  0.024  0.044
appendicitis.52  0.949  0.187  0.047
appendicitis.53  1.428  0.166  0.057
appendicitis.54  0.905  0.042  0.047
appendicitis.55  1.324  0.060  0.050
appendicitis.56  1.039  0.146  0.034
appendicitis.57  1.847  0.057  0.049
appendicitis.58  1.142  0.052  0.031
appendicitis.59  1.048  0.025  0.034
appendicitis.60  1.062  0.195  0.047
appendicitis.61  1.040  0.082  0.045
appendicitis.62  1.055  0.146  0.047
appendicitis.63  1.091  0.143  0.052
appendicitis.64  1.052  0.047  0.046
appendicitis.65  1.046  0.049  0.048
appendicitis.66  1.960  0.050  0.048
appendicitis.67  1.085  0.134  0.048
appendicitis.68  1.020  0.115  0.050
appendicitis.69  0.991  0.030  0.044
appendicitis.70  1.101  0.135  0.050
appendicitis.71  1.061  0.036  0.041
appendicitis.72  1.054  0.047  0.042
appendicitis.73  2.610  0.061  0.106
appendicitis.74  1.944  0.114  0.049
appendicitis.75  1.110  0.040  0.040
appendicitis.76  0.955  0.078  0.038
appendicitis.77  1.041  0.070  0.037
